Year,Disaster Group,Disaster Subgroup,Disaster Type,Location,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Start Year,Start Month,Start Day,Total Deaths,No Injured,No Homeless,Total Affected,"Total Damages, Adjusted ('000 US$)"
1999,Natural,Geophysical,Earthquake,"Duzce, Bolu, Kaynasli",7.0,Richter,40.758,31.161,1999,11,12,845.0,4948.0,55000.0,60793.0,1756895.0
1999,Natural,Geophysical,Earthquake,Sakarya Province,7.0,Richter,40.758,31.161,1999,11,11,3.0,200.0,33810.0,34013.0,2696062.0
1999,Natural,Geophysical,Earthquake,Izmit,5.0,Richter,40.711,29.949,1999,8,31,1.0,166.0,33810.0,33977.0,392980.0
2000,Natural,Geophysical,Earthquake,"Cerkes, Orta districts (Cankiri province), Cubuk district (Ankara province)",6.0,Richter,40.693,32.992,2000,6,6,2.0,80.0,33810.0,33892.0,392980.0
2001,Natural,Geophysical,Earthquake,Osmaniye province,6.0,Richter,37.238,36.206,2001,6,25,28.0,130.0,33810.0,33968.0,392980.0
2001,Natural,Geophysical,Earthquake,Erzurum province,5.0,Richter,39.832,41.623,2001,7,10,28.0,46.0,33810.0,33884.0,392980.0
2002,Natural,Geophysical,Earthquake,Bolvadin district (Afyon province),7.0,Richter,38.573,31.271,2002,2,3,42.0,327.0,30000.0,30369.0,154564.0
2003,Natural,Geophysical,Earthquake,Pulumur district (Tunceli province),6.0,Richter,39.5,39.878,2003,1,27,1.0,2.0,33810.0,33813.0,392980.0
2003,Natural,Geophysical,Earthquake,"Bingol, Celtiksuyu, Sancak, Gokdere, Gozeler villages (Merkez district, Bingol province)",6.0,Richter,39.007,40.464,2003,5,1,177.0,520.0,45000.0,45697.0,214768.0
2003,Natural,Geophysical,Earthquake,"Seferihisar, Konak districts (Izmir province)",6.0,Richter,38.221,26.958,2003,4,10,28.0,170.0,33810.0,34008.0,392980.0
2004,Natural,Geophysical,Earthquake,"Askale, Ilica, Cat districts (Erzurum province)",6.0,Richter,39.847,40.874,2004,3,28,28.0,30.0,33810.0,33868.0,392980.0
2004,Natural,Geophysical,Earthquake,Dogubeyazit district (Agri province),5.0,Richter,39.766,43.979,2004,7,1,18.0,21.0,33810.0,33849.0,392980.0
2004,Natural,Geophysical,Earthquake,"Askale, Buyukgecit, Kucukgecit, Karabiyik, Kandilli villages (Askale district, Erzurum province)",6.0,Richter,39.93,40.812,2004,3,25,9.0,30.0,33810.0,33849.0,392980.0
2005,Natural,Geophysical,Earthquake,Karliova district (Bingol province),6.0,Richter,39.22,41.08,2005,6,6,28.0,54.0,33810.0,33892.0,392980.0
2005,Natural,Geophysical,Earthquake,"Batman city (Merkez district, Batman province), Siirt city (Merkez district, Siirt province), Adana, Van, Hakkari provinces",6.0,Richter,37.622,43.703,2005,1,25,2.0,22.0,33810.0,33834.0,392980.0
2005,Natural,Geophysical,Earthquake,Karliova district (Bingol province),6.0,Richter,39.354,40.89,2005,3,14,28.0,18.0,33810.0,33856.0,392980.0
2010,Natural,Geophysical,Earthquake,"Basyurt village (Karakocan district, Elazig province), Demirci, Kovancilar, Okcular villages (Kovancilar district, Elazig province)",6.0,Richter,38.864,39.986,2010,3,8,51.0,100.0,33810.0,33961.0,392980.0
2011,Natural,Geophysical,Earthquake,"Van, Bitlis, Hakkari provinces",7.0,Richter,38.721,43.508,2011,10,23,604.0,4152.0,22000.0,26756.0,1951560.0
2011,Natural,Geophysical,Earthquake,Simav district (Kutahya province),6.0,Richter,39.149,29.103,2011,5,19,3.0,121.0,10000.0,10124.0,317454.0
2011,Natural,Geophysical,Earthquake,Van province,6.0,Richter,38.429,43.229,2011,11,9,40.0,30.0,75.0,145.0,392980.0
2014,Natural,Geophysical,Earthquake,"Tekirdag, Canakkale provinces",7.0,Richter,40.2893,25.3889,2014,5,24,3382.0,324.0,33810.0,37516.0,2696062.0
2019,Natural,Geophysical,Earthquake,Istanbul,6.0,Richter,40.89,28.173,2019,9,26,1.0,34.0,33810.0,33845.0,392980.0
2020,Natural,Geophysical,Earthquake,"Özalp, Saray, Gürpinar Districts (Van Province)",5.0,Richter,38.558,44.023,2020,6,25,28.0,5.0,33810.0,33843.0,392980.0
2020,Natural,Geophysical,Earthquake,"Karl?ova, Yedisu, Adakl? districts (Bingöl); Çat district (Erzurum)",6.0,Richter,39.421,40.697,2020,6,14,1.0,35.0,33810.0,33846.0,392980.0
2020,Natural,Geophysical,Earthquake,Van City (Baskale district),6.0,Richter,38.543,44.447,2020,2,23,9.0,50.0,3000.0,3059.0,392980.0
2020,Natural,Geophysical,Earthquake,"Izmir Bornova, Bayrakli and Karsiyaka",7.0,Richter,37.913,26.779,2020,10,30,115.0,1034.0,5000.0,6149.0,508845.0
2020,Natural,Geophysical,Earthquake,Sivrice District (Elazig province); Malatya Provinces),7.0,Richter,38.39,44.367,2020,1,24,41.0,1607.0,33810.0,35458.0,384460.0
2022,Natural,Geophysical,Earthquake,"Düzce, Sakarya, Bolu, Zonguldak, Bursa, Istanbul",6.0,Richter,40.847,30.967,2022,11,23,2.0,93.0,33810.0,33905.0,50000.0
2023,Natural,Geophysical,Earthquake,"Defne District (Hatay Province, southern Türkiye)",6.0,Richter,36.159,36.034,2023,2,20,6.0,294.0,33810.0,34110.0,392980.0
2023,Natural,Geophysical,Earthquake,"Gaziantep; Pazarcik District (Kahramanmaras); Sanliurfa, Diyarbakir, Adana, Adiyaman, Osmaniye, Hatay, Kilis, Elazig, Malatya",8.0,Richter,38.055,36.51,2023,2,6,50096.0,107204.0,33810.0,191110.0,2696062.0
